Product Name,Product Price,Rating,Number of Reviews,Product URL
Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298,4.0,385,https://www.amazon.com/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D
"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349",4.0,39,https://www.amazon.com/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D
Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599,4.5,9,https://www.amazon.com/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D
Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,₹448,4.0,81,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D
N/A,N/A,N/A,N/A,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,139",4.5,7390,https://www.amazon.com/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,5627,https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599,3.7,2464,https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (GREY),"₹1,099",4.0,55280,https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,3451,https://www.amazon.com/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",4.1,5857,https://www.amazon.com/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN
N/A,N/A,N/A,N/A,https://www.amazon.com/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899,4.3,6515,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,5607,https://www.amazon.com/gp/bestsellers/luggage/1984997031/ref=sr_bs_10_1984997031_1
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249,4.1,9712,https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7,7059,https://www.amazon.com/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4,6041,https://www.amazon.com/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹588,4.3,12365,https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2,674,https://www.amazon.com/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G
N/A,N/A,N/A,bags,https://www.amazon.com/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=v6h1W&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B1XWYCH4132HHM1DYN35&pd_rd_wg=0AOxs&pd_rd_r=e951492a-3d38-49d4-b252-52c405cd1cde&qid=1692712730
N/A,N/A,N/A,N/A,https://www.amazon.com/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=v6h1W&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B1XWYCH4132HHM1DYN35&pd_rd_wg=0AOxs&pd_rd_r=e951492a-3d38-49d4-b252-52c405cd1cde&qid=1692712730
N/A,N/A,N/A,or,https://www.amazon.com/gp/help/customer/display.html?nodeId=201889520
